	mgm4509396.3	mgm4509398.3	mgm4509400.3
METHOXY MYCOLIC ACID SYNTHASE 3 MMAA3 (METHYL MYCOLIC ACID SYNTHASE 3) (MMA3) (HYDROXY MYCOLIC ACID SYNTHASE)	0	2	0
METHOXY MYCOLIC ACID SYNTHASE 4 MMAA4 (METHYL MYCOLIC ACID SYNTHASE 4) (MMA4) (HYDROXY MYCOLIC ACID SYNTHASE)	8	26	0
POSSIBLE ACYL-[ACYL-CARRIER PROTEIN] DESATURASE DESA2 (ACYL-[ACP] DESATURASE) (STEAROYL-ACP DESATURASE)	0	11	25
POSSIBLE LINOLEOYL-CoA DESATURASE (DELTA(6)-DESATURASE)	273	1029	2914
Probable acyl-[acyl-carrier protein] desaturase DESA1 (Acyl-[ACP] desaturase) (Stearoyl-ACP desaturase) (Protein DES) (EC 1.14.19.2)	6	0	254
SECRETED ANTIGEN 85-A FBPA (MYCOLYL TRANSFERASE 85A) (FIBRONECTIN-BINDING PROTEIN A) (ANTIGEN 85 COMPLEX A)	0	11	0
SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C)	0	13	0
Redox-sensing transcriptional regulator QorR	7136	21606	90735
naphthalene dioxygenase ferredoxin	0	0	75
Electron transport complex protein RnfG	1066	2796	0
1H-3-hydroxy-4-oxoquinoline 2,4-dioxygenase	2249	6490	28409
Nitrite transporter from formate/nitrite family	0	303	1192
Periplasmic nitrate reductase precursor (EC 1.7.99.4)	345	1235	3866
AnfO protein, required for Mo- and V-independent nitrogenase	2438	7078	31175
60S ribosome subunit biogenesis protein NIP7	487	0	0
Cadherin-4 precursor	269	854	3564
Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)	617	1783	6844
Low G+C gram positive nudix hydrolase YtkD (EC 3.6.-.-)	43	0	0
Catalase (EC 1.11.1.6)	4616	13953	50876
Manganese superoxide dismutase (EC 1.15.1.1)	986	2344	10059
Peroxidase (EC 1.11.1.7)	2880	9271	36007
Particulate methane monooxygenase A-subunit (EC 1.14.13.25)	0	0	9
Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)	3744	11556	52946
Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9)	3744	11556	52946
Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)	2399	6666	26974
Two-component response regulator yesN, associated with MetSO reductase	176	455	0
Glutamine synthetase type I (EC 6.3.1.2)	4380	13552	58602
Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)	229	709	2612
Glutamine synthetase type III, GlnN (EC 6.3.1.2)	1258	3612	13880
Membrane transporter HdeD, H-NS repressed	438	1251	5879
Alpha-glucosidase AglA	0	245	0
GDP-mannose 4,6-dehydratase (EC 4.2.1.47)	707	0	0
Cell division inhibitor	1083	3282	13279
HipB protein	1	0	0
Single-stranded DNA-binding protein in PFGI-1-like cluster	1	0	0
Phage head completion protein	90	129	605
Phenylacetate-CoA oxygenase, PaaG subunit	642	1903	7209
Phenylacetate-CoA oxygenase, PaaH subunit	166	0	0
Phenylacetate-coenzyme A ligase (EC 6.2.1.30) PaaF	368	1217	4842
Phenylacetic acid degradation protein PaaY	88	0	0
Acyl coenzyme A dehydrogenase (EC 1.3.99.13)	0	880	0
4-O-beta-D-glucoside hydrolase	59	154	850
Predicted ATPase related to phosphate starvation-inducible protein PhoH	0	2316	0
Lipopolysaccharide cholinephosphotransferase LicD2 (EC 2.7.8.-)	0	0	1
Catalase (EC 1.11.1.6)	4585	13860	50278
Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	2842	8841	32281
Glyoxylate carboligase (EC 4.1.1.47)	353	1193	4219
Malate synthase (EC 2.3.3.9)	1361	4487	18979
Malate synthase G (EC 2.3.3.9)	415	0	0
Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	93	267	1236
Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	28	87	419
Serine hydroxymethyltransferase (EC 2.1.2.1)	3010	8588	36126
Photosystem II protein PsbK	254	917	3538
Photosystem II protein PsbL	406	0	0
2-cys peroxiredoxin BAS1, chloroplast precursor	779	2634	12525
Beta-amyrin synthase	409	1312	5552
Protein VirD5 in virD operon	2291	6412	25906
Cleavage and polyadenylation specificity factor, 160 kDa subunit	90	0	1615
Arginine decarboxylase, catabolic (EC 4.1.1.19)	66	0	0
Carboxynorspermidine dehydrogenase, putative (EC 1.1.1.-)	2	0	0
N-carbamoylputrescine amidase (3.5.1.53)	1065	0	0
Ornithine decarboxylase (EC 4.1.1.17)	943	3005	11457
Putrescine/proton symporter, putrescine/ornithine antiporter PotE	137	415	1869
S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1A	37	56	313
Lipoteichoic acid synthase LtaS Type IIIb1	1720	5707	22419
Butyrate-acetoacetate CoA-transferase subunit B (EC 2.8.3.9)	65	0	727
Intracellular PHB depolymerase (EC 3.1.1.-)	123	416	1438
Polymyxin synthetase PmxB	331	1006	3916
Dehydrosqualene synthase (EC 2.5.1.-)	2	0	0
Potassium-transporting ATPase B chain (EC 3.6.3.12) (TC 3.A.3.7.1)	2214	5866	29164
Predicted secretion system X protein GspE-like	1174	0	0
2-methylisocitrate dehydratase (EC 4.2.1.99)	1721	6021	23436
Aconitate hydratase (EC 4.2.1.3)	5875	19201	77271
Biotin carboxylase of Propionyl-CoA carboxylase (EC 6.3.4.14)	0	15	0
Methylmalonyl-CoA mutase (EC 5.4.99.2)	7180	20337	87989
Propionyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.3)	728	2180	8632
Serine hydroxymethyltransferase (EC 2.1.2.1)	3024	8641	36334
Pup ligase PafA, possible component of postulated heterodimer PafA-PafA'	424	1520	5650
ATP-dependent Clp protease ATP-binding subunit ClpX	3339	9398	42074
ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	2235	7178	29852
ATP-dependent hsl protease ATP-binding subunit HslU	1674	0	0
proteasome-activating AAA-ATPase (PAN)	723	2474	9803
proteasome regulatory subunit Rpt4	4	0	0
Catalase (EC 1.11.1.6)	4585	13863	50291
Peroxidase (EC 1.11.1.7)	2845	9165	35608
Acetyl-coenzyme A synthetase (EC 6.2.1.1)	7105	21486	90381
ClpB protein	8667	0	105963
Nondeblocking aminopeptidase YpdE (X-X-[^PR]- specific)	4009	12850	48298
ATP-dependent Clp protease, ATP-binding subunit ClpC	2381	6759	31403
ATP-dependent Clp protease ATP-binding subunit ClpX	3539	9801	43966
ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	2897	9390	40128
ATP-dependent hsl protease ATP-binding subunit HslU	1789	0	21083
ClpB protein	8673	0	106147
PQS biosynthesis protein PqsD, similar to 3-oxoacyl-[acyl-carrier-protein] synthase III	11999	36151	144449
PqsE, quinolone signal response protein	506	0	0
Putative 3-oxoacyl-[acyl-carrier-protein] synthase III in AHQ biosynthetic operon, related to PqsB	2215	7904	23793
Putative non-ribosomal peptide synthetase in AHQ biosynthetic operon	5040	14079	61435
Homogentisate 1,2-dioxygenase (EC 1.13.11.5)	1261	3974	15120
Homogentisate 1,2-dioxygenase (EC 1.13.11.5)	1261	3974	15120
Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96)	3	0	0
Phosphate starvation-inducible protein PhoH	2667	8540	35355
Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)	2288	6409	25886
Gamma-aminobutyrate:pyruvate aminotransferase (EC 2.6.1.-)	6	9	0
Gamma-glutamyl-putrescine synthetase (EC 6.3.1.11)	60	0	684
Hypothetical protein pVir0038	3255	9311	38974
Hypothetical protein pVir0044	4003	12843	48264
Hypothetical protein pVir0045	3010	8588	36126
Hypothetical protein pVir0047	2164	6528	25298
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	0	8685	37593
Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)	837	2422	10985
CTP synthase (EC 6.3.4.2)	4884	14525	62148
Deoxycytidine triphosphate deaminase (EC 3.5.4.13)	1287	3954	15620
Beta-ureidopropionase, eukaryotic type (EC 3.5.1.6)	938	0	0
Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	3155	9015	43037
D-malic enzyme (EC 1.1.1.83)	926	2661	0
Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)	1847	4850	20245
Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32)	1665	5499	21692
Acetyl-coenzyme A synthetase (EC 6.2.1.1)	7092	21465	90257
Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	3296	9324	38805
Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	4003	12843	48264
NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.-)	506	1382	0
PTPSVII	879	2700	10744
NADPH:quinone reductase (Quinone oxidoreductase) (EC 1.6.5.5)	101	307	1516
YhdH, a putative quinone oxidoreductase	1398	0	0
S-adenosylhomocysteine hydrolase; Pfs (EC 3.2.2.9)	2428	7065	31135
8-amino-7-oxononanoate synthase (EC 2.3.1.47) / CqsA	36	127	364
Transcriptional regulator RhlR	4695	13366	57524
Phage major tail protein	2392	7257	29751
Phage protein # Prophage Lp1 Protein 19	846	2928	10971
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	0	8696	37641
NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	0	1314	5222
membrane docking protein	529	1695	6648
Manganese superoxide dismutase (EC 1.15.1.1)	1164	2852	11853
Peroxidase (EC 1.11.1.7)	3324	10537	40974
Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	0	0	7481
DNA gyrase subunit B (EC 5.99.1.3)	4737	13552	58162
Topoisomerase IV subunit B (EC 5.99.1.-)	2204	6524	24677
NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	1596	4720	20240
NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	2436	7469	31710
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	1154	3088	13692
Protein often found in Actinomycetes clustered with signal peptidase and/or RNaseHII	132	402	1473
Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	1147	3055	11102
Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	525	1571	5224
Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	0	2764	0
Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)	5805	16993	74044
LSU ribosomal protein L2p (L8e)	1838	5398	22389
LSU ribosomal protein L5p (L11e)	3627	9862	45406
LSU ribosomal protein L32p, chloroplast	1261	3976	15129
LSU ribosomal protein L35Ae	464	1348	6708
LSU ribosomal protein L11p (L12e), mitochondrial	681	2279	8858
LSU ribosomal protein L51mt, mitochondrial	707	0	0
LSU ribosomal protein MRP51, mitochondrial	149	0	0
SSU ribosomal protein S10p (S20e)	836	2202	9555
SSU ribosomal protein S11p (S14e)	735	2357	9796
SSU ribosomal protein S12p (S23e)	733	2284	9723
SSU ribosomal protein S19p (S15e)	730	2030	9050
SSU ribosomal protein S21p	1299	3828	15346
SSU ribosomal protein S3p (S3e)	0	0	21966
SSU ribosomal protein S16e (S9p)	2484	7143	31466
SSU ribosomal protein S20e (S10p)	15	0	0
DNA-directed RNA polymerase subunit A (EC 2.7.7.6)	343	0	0
DNA-directed RNA polymerase subunit B (EC 2.7.7.6)	398	527	2060
DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)	2249	6490	28414
DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)	8472	24159	109647
DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)	8848	25464	112006
Unknown m4Cm1402 B	2842	8841	32281
Fe-S oxidoreductase-like protein in Rubrerythrin cluster	240	625	2898
regulator protein,AreR	0	2	0
salicylate esterase	2572	7778	31939
Probable ATP synthase SpaL (EC 3.6.3.14) (Invasion protein InvC)	1005	2693	9362
SECIS-binding protein 2	584	0	0
Serine hydroxymethyltransferase (EC 2.1.2.1)	3010	8588	36126
Aconitate hydratase (EC 4.2.1.3)	5875	19201	77271
Citrate synthase (si) (EC 2.3.3.1)	4315	12771	53199
Enolase (EC 4.2.1.11)	3439	9781	41960
ethylmalonyl-CoA mutase	7627	21743	92862
Fumarate hydratase class I, aerobic (EC 4.2.1.2)	1503	4826	18789
Fumarate hydratase class I, anaerobic (EC 4.2.1.2)	0	84	396
Fumarate hydratase class I, N-terminal domain	4	27	88
Isocitrate lyase (EC 4.1.3.1)	1301	3904	17587
Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)	2705	8961	34419
Methylmalonyl-CoA mutase (EC 5.4.99.2)	7180	20337	87989
Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)	1847	4850	20245
Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	2780	8499	36873
Propionyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.3)	728	2180	8632
putative isobutyryl-CoA mutase, chain B	125	396	1514
Serine hydroxymethyltransferase (EC 2.1.2.1)	3010	8588	36126
Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	5629	15993	67950
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	2164	6528	25298
Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)	614	1766	6790
Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit B (EC 2.8.3.5)	544	1799	6936
Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	2052	6473	26317
Capsular polysaccharide synthesis enzyme Cap5D	0	9	0
Capsular polysaccharide synthesis enzyme Cap5I	0	2	0
Capsular polysaccharide synthesis enzyme Cap5M	1	0	0
Capsular polysaccharide synthesis enzyme Cap8E	0	0	64
Capsular polysaccharide synthesis enzyme Cap8F	7	0	0
Capsular polysaccharide synthesis enzyme Cap8J	0	1	0
Achromobactin biosynthesis protein AcsA	0	5	0
Achromobactin biosynthesis protein AcsE, Orn/DAP/Arg decarboxylase family	0	1	0
Achromobactin biosynthesis protein AcsF	0	12	0
TonB-dependent ferric achromobactin receptor protein	7	0	0
Antibiotic biosynthesis monooxygenase domain-containing protein	0	2	0
Desferrioxamine E biosynthesis protein DesB	0	21	0
Enantio-pyochelin biosynthetic protein PchK, putative reductoisomerase	0	1	0
FIG137594: Putative iron-regulated membrane protein	3	0	0
Hypothetical protein PvdX	18	75	270
Hypothetical protein PvdY	3	0	0
Probable hydrolase, coexpressed with pyoverdine biosynthesis regulon	6	0	0
Siderophore staphylobactin biosynthesis protein SbnC	0	1	0
Rhodanese domain protein UPF0176, Legionella subgroup	0	1	0
Small acid-soluble spore protein, alpha/beta family, SASP_1	0	2	0
Cytochrome c552	564	0	0
Cytochrome c552 precursor (EC 1.7.2.2)	486	1348	4655
Methane monooxygenase component A alpha chain (EC 1.14.13.25)	131	453	1631
Methane monooxygenase component A beta chain (EC 1.14.13.25)	2050	5662	19336
Methane monooxygenase component D (EC 1.14.13.25)	1882	4853	21412
Acyl-CoA-dependent ceramide synthase (EC 2.3.1.24)	0	1	0
Pre-mRNA splicing factor PRP8	3039	8616	36301
Manganese superoxide dismutase (EC 1.15.1.1)	972	2306	9859
Protein GerPC, required for proper assembly of spore coat, mutations lead to super-dormant spore	1	0	0
Spore cortex-lytic enzyme CwlJ	2	0	0
Spore germination protein GerYB	1	0	0
Polyketide cyclase WhiE VII	9	0	0
KapB, lipoprotein required for KinB pathway to sporulation	0	1	10
KapD, inhibitor of KinA pathway to sporulation	3	0	0
Stage III sporulation protein AB	860	2339	10439
Stage V sporulation protein required for normal spore cortex and coat synthesis (SpoVM)	0	1	0
CI-like repressor, superantigen-encoding pathogenicity islands SaPI	398	1122	5701
Heat shock protein 60 family chaperone GroEL	8561	22748	107175
Superantigen enterotoxin SEB	0	1149	0
Superantigen enterotoxin SEC3	1327	0	16628
Hypothetical protein, SAV0860 homolog [SA bacteriophages 11, Mu50B]	0	579	0
Iron-sulfur cluster assembly protein SufB	3966	10660	48001
Hypothetical mga-associated protein	2	0	0
Collagen-binding adhesin	1	0	0
FasL	0	0	3
Protein H	986	2314	9953
Streptolysin S precursor (SagA)	657	2311	0
Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	5859	16739	70856
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	2195	6629	25775
Alpha-glucuronidase (EC 3.2.1.139)	251	647	3450
Beta-glucoside ABC transport system, ATP-binding protein 2	1	0	0
Cellobiose phosphorylase (EC 2.4.1.-)	124	384	1975
L-arabinose isomerase (EC 5.3.1.4)	436	1251	5874
Predicted galactoside ABC transporter, permease protein 1	0	2	0
Uronate isomerase (EC 5.3.1.12)	580	0	0
Xylose isomerase (EC 5.3.1.5)	1361	4001	16123
Mucin-desulfating sulfatase MdsA precursor (EC 3.1.6.14)	0	2	0
Glycosyltransferase SypN	2121	6283	23773
Similar to non-heme chloroperoxidase	617	1844	8477
Similar to non-heme chloroperoxidase, sll5080 homolog	566	1674	7741
Cyclic beta-1,2-glucan modification transmembrane protein	1959	0	22238
Cyclic beta-1,2-glucan synthase (EC 2.4.1.-)	9434	0	116833
T7-like phage exonuclease (EC 3.1.11.3)	45	88	384
T7-like phage internal protein A	692	2340	9388
Aconitate hydratase (EC 4.2.1.3)	5875	19201	77271
Citrate synthase (si) (EC 2.3.3.1)	4315	12771	53199
Fumarate hydratase class I, aerobic (EC 4.2.1.2)	1503	4826	18789
Fumarate hydratase class I (EC 4.2.1.2)	28	76	338
Fumarate hydratase class I, N-terminal domain	4	27	88
Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	3255	9311	38974
Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	5629	15993	67950
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	2164	6528	25298
Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	2052	6473	26317
Alternative cytochrome c oxidase polypeptide CoxN (EC 1.9.3.1)	1029	3063	13294
Cytochrome C oxidase (EC 1.9.3.1) FixO chain	1	0	0
Cytochrome c oxidase polypeptide I (EC 1.9.3.1)	6175	19136	83775
Cytochrome c oxidase subunit CcoN (EC 1.9.3.1)	1014	2903	11960
Cytochrome c oxidase subunit CcoO (EC 1.9.3.1)	665	1847	7998
Cytochrome c oxidase subunit, putative (EC 1.9.3.1)	1	0	0
Cytochrome O ubiquinol oxidase subunit I (EC 1.10.3.-)	404	1356	5468
Cytochrome O ubiquinol oxidase subunit I (EC 1.10.3.-)	404	1356	5468
Transcriptional regulator of fimbriae expression FimZ (LuxR/UhpA family)	370	1220	4334
Thiamin biosynthesis protein ThiC	2172	6161	28560
Toluate 1,2-dioxygenase electron transfer component	2847	9162	35610
Toxin mRNA interferase YgiU	2429	7069	31152
RNA polymerase sigma factor RpoH-related protein RpoH2	29	0	0
RNA polymerase sigma factor SigV	2435	7549	30310
Translation elongation factor LepA	5343	14660	64171
Translation elongation factor Tu	4000	12391	53667
Translation elongation factor 1 alpha subunit	206	0	0
Eukaryotic translation initiation factor 3 RNA-binding subunit	129	338	0
Peptide chain release factor 2	1882	5719	23843
Peptide chain release factor 3	1172	0	13911
Manganese uptake regulation protein MUR	47	0	0
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	3240	9854	39895
Glycogen debranching enzyme (EC 3.2.1.-)	5165	16450	63107
Trehalose synthase (EC 5.4.99.16)	3327	9933	40768
Triacylglycerol lipase (EC 3.1.1.3)	0	0	6
Ammonia monooxygenase	205	0	0
Alanyl-tRNA synthetase (EC 6.1.1.7), chloroplast	2	0	0
Asparaginyl-tRNA synthetase (EC 6.1.1.22)	1731	4518	19757
Glutaminyl-tRNA synthetase (EC 6.1.1.18)	2172	5921	27155
Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)	845	2621	10830
Glycyl-tRNA synthetase (EC 6.1.1.14)	1942	5154	23013
Phosphate starvation-inducible ATPase PhoH with RNA binding motif	0	1148	0
Asparagine--tRNA ligase related protein	3019	8606	36188
Iron-sulfur cluster assembly scaffold protein IscU	3539	10655	43647
Predicted RNA-binding protein COG1491	5218	16513	63424
Thiamine biosynthesis protein ThiI	3556	10639	43322
TilS-like 3	5166	16456	63122
Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	1908	0	0
Iron-sulfur cluster assembly protein SufB	3512	9351	42389
tRNA-guanine transglycosylase (EC 2.4.2.29)	7685	24834	99804
tRNA:m(5)U-54 MTase gid	0	0	30581
tRNA (Uracil54-C5-)-methyltransferase (EC 2.1.1.35)	0	0	19512
COG0009 Sua5 subfamily, required for N6-threonylcarbamoyl adenosine t(6)A37 modification in tRNA	9135	24458	113649
Pseudouridylate synthase 8 (EC 5.4.99.-) responsible for modification of cytoplasmic tRNAs at position 32	0	2	0
tRNA (cytosine-5-)-methyltransferase NCL1 (EC 2.1.1.29) (tRNA methyltransferase 4) (Multisite-specific tRNA:m5C-methyltransferase)	7299	20612	89685
tRNA (Uracil54-C5-)-methyltransferase (EC 2.1.1.35)	4617	12814	55781
tRNA-Gly-GCC	1	0	0
tRNA-Leu	3669	11131	47450
Tryptophan synthase beta chain (EC 4.2.1.20)	2386	7215	29549
HpaA protein	65	0	745
putative type III secretion system EscC protein	67	0	0
Secretion system effector SseE	467	1615	6548
Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)	1882	4853	21412
ClpB protein	15835	46396	196295
Secreted protein Hcp	4392	13587	58705
Serine/threonine-protein kinase ImpN involved in nitrogen fixation	1265	3626	13944
Uncharacterized protein ImpC	635	1876	7991
Quinol oxidase-2, sulfocyanin (blue copper protein) (SoxE)	3014	8604	36168
TPR-repeat-containing protein, putative component of Menaquinone-cytochrome C reductase	2404	7505	30046
GTP-binding protein TypA/BipA	4007	11958	49475
Translation elongation factor LepA	4730	13173	57375
Translation elongation factor Tu	4151	12871	55657
Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12)	0	4026	0
Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	1896	0	24208
Urea ABC transporter, urea binding protein	1227	3634	15062
Urease accessory protein UreG	535	1422	5477
Urease alpha subunit (EC 3.5.1.5)	1508	4526	17710
Urease accessory protein UreG	535	1422	5477
Urease alpha subunit (EC 3.5.1.5)	1508	4526	17710
ClpB protein	8638	24245	105673
Uncharacterized protein ImpC	631	1863	7960
Probable acyl-CoA dehydrogenase (EC 1.3.99.3)	482	1500	6320
lipopolysaccharide biosynthesis protein, putative	1579	0	0
Toxin co-regulated pilin A	0	6457	0
VirE1 involved in nuclear transport of T-DNA, a chaperone for VirE2	0	347	1684
WhiB-like transcription regulator	69	0	0
predicted 2-keto-3-deoxyxylonate dehydratase	102	416	0
predicted xylose isomerase	0	2	0
Xylonate dehydratase (EC 4.2.1.82)	296	944	3752
Xylose isomerase (EC 5.3.1.5)	1361	4001	16123
Pyrimidine deoxynucleoside triphosphate (dYTP) pyrophosphohydrolase YfoO	0	2	0
Aconitate hydratase (EC 4.2.1.3)	5875	19201	77271
Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	879	0	0
Fumarate hydratase class I, aerobic (EC 4.2.1.2)	1503	4826	18789
Glutamate--cysteine ligase (EC 6.3.2.2), divergent, of Alpha- and Beta-proteobacteria type	159	389	1328
Glutathione-dependent formaldehyde-activating enzyme (EC 4.4.1.22)	97	215	1012
Iron-sulfur cluster assembly ATPase protein SufC	1951	5318	22097
NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	2430	7437	31585
S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	877	2700	10742
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	2164	6528	25298
TctA citrate transporter	0	579	0
Serine hydroxymethyltransferase (EC 2.1.2.1)	3010	8588	36128
MFS superfamily export protein YceL	108	310	1455
Microcompartment protein protein similar to PduA/PduJ	31	92	0
Glycoside hydrolase family 2, sugar binding	2	0	0
Hypothetical sugar ABC transporter TM1149, permease protein	0	78	0
Triosephosphate isomerase (EC 5.3.1.1)	11	0	0
Competence protein PilN	7648	0	0
Competence protein PilW	4046	11117	47786
Type IV pilus biogenesis protein PilOPx	2880	8341	35338
Methylcobalamin methyltransferase MMP0834	25	84	280
Methyltransferase corrinoid activation protein	4046	11117	47786
Thiol-specific antioxidant family (AhpC/TSA) protein associated with thiol:disulfide interchange protein	4003	12843	48264
Putative glycosyl hydrolase of unknown function (DUF1680)	3155	9015	43037
Putative oligoketide cyclase/dehydratase or lipid transport protein YfjG	2880	8341	35338
L-asparaginase I, cytoplasmic (EC 3.5.1.1)	0	4567	0
FIG049476: HIT family protein	1721	6021	23436
COG1720: Uncharacterized conserved protein	879	0	0
